id,slug,name,category,status,city,area,rating,reviews_count,authority_score,website,google_maps_url
google-ChIJTT2k3TKNlxIRcQWh2OYb10Q,vorera-restaurant,Vorera Restaurant,restaurant,draft,Palma,Palma,5,25,143.2995,https://www.vorerarestaurant.com/,https://maps.google.com/?cid=4960464192862750065&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJKfPg_FrFlxIR2xu0ADUKw_8,muma-by-inca,MuMa by Inca,restaurant,draft,,Inca,5,21,141.4444,https://www.grupmumapetits.com/,https://maps.google.com/?cid=18429585322891549659&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJlYU8ym1NlhIRY6LJIT64lJE,arrocesmallorca,Arrocesmallorca,restaurant,draft,,Cala Figuera,5,189,160.5751,https://arrocesmallorca.es/,https://maps.google.com/?cid=10490212009047073379&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJv0YMOABNlhIROfN1lA8uBj0,restaurante-ca-na-margalida,Restaurante Ca Na Margalida,restaurant,published,,Felanitx,5,97,154.8245,https://www.instagram.com/restaurantcanamargalida/#,https://maps.google.com/?cid=4397252730624013113&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJAWEGdHqNlxIRsb9FTnbBSZo,guapa-s,GUAPA'S,restaurant,published,Palma,Palma,5,128,157.2118,https://guapasburgers.com/,https://maps.google.com/?cid=11117629869004275633&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJfe8hvLWXlxIRPrsx0Eo_ySk,k8-sushi-arenal,K8 Sushi Arenal,restaurant,published,Palma,Palma,5,429,167.6694,https://sushik8restaurant.com/,https://maps.google.com/?cid=3011007416426937150&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJddeGybQVlhIRtsgMKVWvHPc,restaurante-sukarne,Restaurante SuKarne,restaurant,published,,Canyamel,5,321,155.1571,,https://maps.google.com/?cid=17806299807011883190&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJ8wIG4Q6TlxIRNzHwkfx28Ak,sabor-mallorca-comida-para-llevar-en-palma,Sabor Mallorca | Comida para llevar en Palma,restaurant,published,Palma,Palma,5,306,164.7428,http://www.sabormallorca.es/,https://maps.google.com/?cid=716203167904182583&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJ883GGy-TlxIRU8t8tQjbV40,aburi,ABURI,restaurant,published,Palma,Palma,5,121,156.7272,https://www.aburi-restaurant.com/,https://maps.google.com/?cid=10184849912772741971&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJa-kN6b7VlxIRVeDDf0YuWiY,rico-mediterraneo,Rico Mediterraneo,restaurant,published,Pollença,Pollença,5,63,151.1236,https://www.ricomediterraneo.com/,https://maps.google.com/?cid=2763572201671352405&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJ7-hTsWSTlxIRbnOcvZJFQGc,loa-contemporary-restaurant-wine-cocktails,"LÕA contemporary restaurant, wine & cocktails",restaurant,published,Palma,Palma,5,243,162.7478,https://loapalma.com/,https://maps.google.com/?cid=7440023080964748142&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJtcqDCgCplxIRCLLL6dfRwnM,nom-nom-sa-rapita,Nom Nom Sa Rapita,restaurant,published,,Sa Ràpita,5,83,143.2763,,https://maps.google.com/?cid=8341460185114194440&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJTcrGUsM_lhIRAngXKcHZyng,holy-burger-santa-burger,HOLY BURGER / SANTA BURGER,restaurant,published,,Cala Bona,5,164,149.3497,,https://maps.google.com/?cid=8704008653488224258&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJN1QnderJlxIRwMRkAFiYoDg,restaurante-anima-sineu,Restaurante ANIMA SINEU,restaurant,draft,,Sineu,5,32,135.3703,,https://maps.google.com/?cid=4080428766128817344&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJuUosExnVlxIRBmS12zUtWts,mi-querencia-karen,MI QUERENCIA KAREN,restaurant,published,Pollença,Port de Pollença,5,676,171.6118,https://www.instagram.com/miquerencia_karen?igsh=MXQ1YWpwZjBmY2dhOA==,https://maps.google.com/?cid=15805995551552791558&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJo5cFvGu_lxIRyMPul6M_Lhg,bar-ristopizza-flavour,Bar Ristopizza Flavour,restaurant,draft,,Manacor,5,33,135.103,,https://maps.google.com/?cid=1742400077700187080&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJwd7Utl8_lhIRL8SPqBFHOyg,sante-vegan-veggie-restaurant,SANTÉ | Vegan & Veggie Restaurant,restaurant,published,,Cala Millor,5,486,168.7506,https://sante-mallorca.com/,https://maps.google.com/?cid=2898988926311056431&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
