category,name,rating,reviews_count,area,address,google_place_id,website,google_maps_url,possible_existing_slug,possible_existing_place_id
restaurant,Noahs Lounge,4.5,2798,Cala Ratjada,"Avinguda d'Amèrica, 1, 2, 07590 Cala Rajada, Illes Balears",ChIJ5zbEQl8WlhIRW1EYFKYwZcg,http://www.cafenoahs.com/,https://maps.google.com/?cid=14440001270093205851&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
restaurant,Roadhouse,4.3,2445,Artà,"Carrer de Cartago, 13, Platja de Palma i Pla de Sant Jordi, 07600 S'Arenal, Illes Balears",ChIJiYaM8USWlxIR0l-7f-3MU7E,https://www.roadhouse-arenal.com/,https://maps.google.com/?cid=12777781888202530770&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
restaurant,Pazo do pulpo,4.4,2191,Palma,"Ctra. Militar, 219, Platja de Palma i Pla de Sant Jordi, 07600 S'Arenal, Illes Balears",ChIJA0Wu_EaWlxIRxnKD5pwbUcQ,http://www.casadopulpo.com/,https://maps.google.com/?cid=14146118265243660998&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
restaurant,Cervecería Pedrín,4.2,2178,Inca,"Av. Rei Jaume II, 229, 07300 Inca, Illes Balears",ChIJbxN6eZbFlxIRExh0Wm1AmMo,https://cerveceriapedrin.shop/,https://maps.google.com/?cid=14598489030534633491&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
restaurant,Los Poetas Andaluces,4.5,1950,Peguera,"Carrer dels Tarongers, 3, 07160 Peguera, Illes Balears",ChIJt89i9VEnmBIRcWT4VI3e5Gs,,https://maps.google.com/?cid=7774583555345638513&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
restaurant,Ca s'Hereu Restaurante Cafè,4.5,1938,Binissalem,"Carrer de Pere Estruch, 1, 07350 Binissalem, Illes Balears",ChIJQb2_UVvBlxIRWm36dbbXk6s,,https://maps.google.com/?cid=12363462580725509466&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
restaurant,Arroceria Casa Aurelio,4.4,1833,Palma,"Carrer d'Amílcar, 14, Platja de Palma i Pla de Sant Jordi, 07600 Palma, Illes Balears",ChIJbQae60uWlxIRX5E9h6nmMho,,https://maps.google.com/?cid=1887824809614479711&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
restaurant,Pippers Restaurant Mediterrani,4.4,1819,Port d'Alcúdia,"Carretera d'Artà, 1, 07400 Platja d'Alcúdia, Illes Balears",ChIJN0Qdpo4slhIRLzmpobTB5-g,https://pippersrestaurant.com/,https://maps.google.com/?cid=16782595517969938735&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
restaurant,Restaurante 1955,4.3,1816,Artà,"Carrer de Cartago, 39, Platja de Palma i Pla de Sant Jordi, 07600 S'Arenal, Illes Balears",ChIJ7zIgkkWWlxIRd-2bb15T7U0,https://grupo1955.com/restuarante-1955/,https://maps.google.com/?cid=5615235975465397623&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
restaurant,El Gaucho Asador,4.4,1762,Can Picafort,"Carrer Silenci, 16, 07458 Can Picafort, Illes Balears",ChIJI7piP3EylhIRDWD3c0uiWuo,,https://maps.google.com/?cid=16886988197730934797&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
restaurant,Bananas Son Bauló,4.3,1287,Can Picafort,"Carrer Marina, 48, 07458 Can Picafort, Illes Balears",ChIJ6xsmyxEylhIR7TP57VoLN_Q,http://www.bananassonbaulo.com/,https://maps.google.com/?cid=17597546554140996589&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
restaurant,Restaurant Lluna 36,4.7,1254,Sóller,"Carrer de sa Lluna, 36, 07100 Sóller, Illes Balears",ChIJ0cdkTb7olxIRZojOcKaGDwE,https://www.luna36.es/,https://maps.google.com/?cid=76427768103864422&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
restaurant,Ciao Ciao,4.6,1224,Can Picafort,"Passeig Colón, 124, 07458 Can Picafort, Illes Balears",ChIJ0Z8Fz3AylhIRVhfiDozObJg,https://mallorca-touristguide.com/restaurantes-can-picafort/pizzeria-ciao-ciao,https://maps.google.com/?cid=10983380692190238550&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
restaurant,Restaurante La Cabaña – Puerto de Alcúdia,4.4,1204,Port d'Alcúdia,"Passeig Marítim, 14, 07400 Port d'Alcúdia, Illes Balears",ChIJceRMKYoslhIRetMG839TzJ8,https://lacabanapuertoalcudia.com/,https://maps.google.com/?cid=11514670156282778490&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
restaurant,Restaurante en Port D' Alcudia S'OLI VERGE,4.5,1160,Port d'Alcúdia,"Carrer dels Fassers, 2, 07400 Port d'Alcúdia, Illes Balears",ChIJ6QqeNt0slhIRj5SO0FOA1d4,https://soliverge.es/,https://maps.google.com/?cid=16056881143929017487&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
restaurant,La Pinta Bar-Restaurant,4.6,1157,Can Picafort,"Passeig Colón, 159, 07458 Can Picafort, Illes Balears",ChIJq6oO43kylhIRKzb_wBc-nB0,http://la-pinta.com/,https://maps.google.com/?cid=2133648595209893419&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
restaurant,Restaurant Ca'n Salvador,4.4,1085,Porto Cristo,"Carrer d'En Sureda, 1, 07680 Porto Cristo, Illes Balears",ChIJtxDLOL1NlhIRitFCdUYC41s,https://restaurantcansalvador.com/,https://maps.google.com/?cid=6621138378803040650&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
restaurant,Restaurante Mestral,4.4,1049,Cala d'Or,"Carrer de s'Espalmador, 21, 07660 Cala d'Or, Illes Balears",ChIJc6blScBQlhIRrjAmW13cV78,,https://maps.google.com/?cid=13787731077737361582&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
restaurant,Restaurant Sa Parra,4.5,964,Porto Cristo,"Carrer dels Navegants, 103, 07680 Porto Cristo, Illes Balears",ChIJp9hAqclGlhIRYSFDeECR3RM,,https://maps.google.com/?cid=1431459962655285601&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
restaurant,Bar s'Hotel,4.2,902,Binissalem,"Carrer Passeig des Born, 1, 07350 Binissalem, Illes Balears",ChIJL3zWTEPBlxIR39RAQwyYYcY,https://bar-shotel.shop/,https://maps.google.com/?cid=14294873870686016735&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
restaurant,ARUX,4.8,897,Pollença,"Carrer Ecònom Torres, 17, 07470 Pollença, Illes Balears",ChIJ-c5AfZ_VlxIR6QgNSo9thPw,,https://maps.google.com/?cid=18195788856673765609&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
restaurant,La Bodeguilla casa de comidas Arenal,4.8,853,S'Arenal,"Carrer Berga, 75, 07600 S'Arenal, Illes Balears",ChIJ2XWNSfuXlxIRnWf1v1wuqSk,,https://maps.google.com/?cid=3001981602511546269&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
restaurant,Restaurant Ca'n Boqueta,4.5,819,Sóller,"Gran Via, 43, 07100 Sóller, Illes Balears",ChIJQ0iFEbnolxIRG4E7fvW1pYY,http://canboqueta.com/,https://maps.google.com/?cid=9702361038229045531&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
restaurant,Restaurant Sa Canova,4.2,787,Campos,"Ronda de l'Estació, 18, 07630 Campos, Illes Balears",ChIJuU9oLd6tlxIRe1A0PoAytpo,http://www.facebook.com/restaurantsacanova,https://maps.google.com/?cid=11148153453983060091&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
restaurant,Restaurante La Campana,4.7,780,Peguera,"Carrer de les Malgrats, 3, 07160 Peguera, Illes Balears",ChIJBfgp400nmBIRxpsqfxeePOw,,https://maps.google.com/?cid=17022654515308567494&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
restaurant,El Rinconcito de la Patrona,4.7,779,Peguera,"Carrer de Palmira, 2, Local 4 y 5, 07160 Peguera, Illes Balears",ChIJC1-gDjaPlxIR4WFukWi83OI,,https://maps.google.com/?cid=16347147904750608865&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
restaurant,Faro Cantina,4.5,776,Porto Cristo,"Carretera del Moll, 07680 Porto Cristo, Illes Balears",ChIJ0f2ot09HlhIRi1C-BP0BttM,,https://maps.google.com/?cid=15255382973982068875&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
restaurant,S' Olivera,4.2,752,Binissalem,"Carrer del Conquistador, 82, 07350 Binissalem, Illes Balears",ChIJIxGSlUbBlxIRIgBrg0jJrlk,https://emiliocastrejon.com/,https://maps.google.com/?cid=6462323828602896418&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
restaurant,Es Modern,4.5,737,Santanyí,"Santanyi n°5, 07630 Campos, Illes Balears",ChIJJynBBuGtlxIRZ6VpodjTk-g,https://www.facebook.com/esmodern.es,https://maps.google.com/?cid=16758971565750199655&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
restaurant,Restaurante El Paradiso,4.5,731,Peguera,"Bulevar de Peguera, 48, 07160 Peguera, Illes Balears",ChIJV0-4uE4nmBIRSBUfU5YY2wY,https://elparadiso.es/,https://maps.google.com/?cid=494015618045908296&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
restaurant,Restaurante Acuario,4.6,712,Can Picafort,"Passeig Colón, 161, 07458 Can Picafort, Illes Balears",ChIJ-eqrWHcylhIRQyi3r--_VxE,,https://maps.google.com/?cid=1249678457784707139&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
restaurant,SA FOGANYA DE LLUCMAJOR,4.5,690,Llucmajor,"Carrer de Gràcia, 59, 07620 Llucmajor, Illes Balears",ChIJK0xk5aq7lxIRsVtiG2Wmz28,https://www.instagram.com/safoganyadellucmajor?igsh=MWdkZHlzZ2NiYzh1bA%3D%3D&utm_source=qr,https://maps.google.com/?cid=8056841211570445233&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
restaurant,Bistro Noir | Restaurant Cala d'Or,4.4,643,Cala d'Or,"Carrer de Santanyí, n9, 07660 Cala d'Or, Illes Balears",ChIJE7MVLeZRlhIRo04HPOwQXLI,https://noirmallorca.com/,https://maps.google.com/?cid=12852166043413991075&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
restaurant,Botanic Restobar,4.8,632,Cala Ratjada,"Carrer de l'Agulla, 103, 07590 Cala Lliteres, Illes Balears",ChIJb4I9ID8XlhIR83gz-32F9fU,,https://maps.google.com/?cid=17723218684718315763&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
restaurant,Restaurante Molí de Sal campos,4.6,629,Colonia de Sant Jordi,"Carretera Campos a Sa Colònia de Sant Jordi, Km 8.3, 07630 Campos, Illes Balears",ChIJ8wECP1iplxIRHC2c-JD8gYA,http://www.molidesal.eu/es/,https://maps.google.com/?cid=9259960008426925340&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
restaurant,RESTAURANT CAN TAMANY,4.5,591,Sóller,"07100 Sóller, Illes Balears",ChIJP3g6ORbplxIRzucHRULU19U,https://cantamany.com/,https://maps.google.com/?cid=15409018031162517454&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
restaurant,Nirador,4.9,582,Peguera,"Bulevar de Peguera, 71, 07160 Peguera, Illes Balears",ChIJW0209WonmBIRoO-VzF_6EJg,http://www.nirador.de/,https://maps.google.com/?cid=10957533182753632160&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
restaurant,Cafè Inca,4.7,577,Inca,"Carrer Joan d'Austria, 51, 07300 Inca, Illes Balears",ChIJRz8pjBbFlxIRiS9-pyJh0f8,http://www.esment.org/,https://maps.google.com/?cid=18433621551270997897&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
restaurant,Tapas Palma Centre,4.4,559,Palma,"Plaça de Weyler, 1, Centre, 07003 Palma, Illes Balears",ChIJbc2KZk2TlxIRU3eOLjhhD14,https://www.tapaspalma.com/,https://maps.google.com/?cid=6777742858143037267&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
restaurant,Ca'n Calent,4.2,551,Campos,"Ronda de l'Estació, 44, 07630 Campos, Illes Balears",ChIJQ6R519-tlxIRgCnioJblkkw,https://www.miquelcalent.com/cancalent-2/,https://maps.google.com/?cid=5517724928589310336&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
restaurant,Tres Llunes,4.9,548,Sóller,"Carrer de sa Lluna, 102, 07100 Sóller, Illes Balears",ChIJvarXJorplxIRDuyO0y-iahs,https://www.facebook.com/profile.php?id=100089990595840,https://maps.google.com/?cid=1975569712851905550&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
restaurant,Goia,4.9,515,Port de Sóller,"Passeig Es Traves, 14, 07108 Port de Sóller, Illes Balears",ChIJd6DV0eDllxIRbwNbEj_PpOE,http://goia.com.es/,https://maps.google.com/?cid=16259348424512177007&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
restaurant,Restaurante del mar,4.5,508,Cala Ratjada,"Avinguda d'Amèrica, 31, 07590 Cala Rajada, Illes Balears",ChIJ_TrMcl8WlhIRLdf8Ud2nLKo,http://www.mallorca-delmar.com/,https://maps.google.com/?cid=12262360454428153645&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
restaurant,Caliuet BaRestaurant,4.4,507,Llucmajor,"Plaça Espanya, 57, 07620 Llucmajor, Illes Balears",ChIJuZxZEwe7lxIR_pICbMsdCc8,http://caliuet.eltenedor.rest/,https://maps.google.com/?cid=14918488000169153278&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
